num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
5985	8508.848474	117.891918	-1.912682	3.614095	43.550477
5987	8510.918035	118.232594	-1.850652	3.611757	44.881951
5989	8512.991400	117.812065	-1.661536	3.617451	44.655301
5991	8515.066082	118.070488	-1.626238	3.630468	42.498536
5993	8517.136131	118.163220	-1.653894	3.630760	43.392658
5995	8519.201525	118.283773	-1.856821	3.619019	43.762151
5997	8521.265766	118.077588	-1.665234	3.607837	43.792909
5999	8523.334494	116.084987	-1.673802	3.610305	43.674061
6001	8525.408800	118.197748	-2.744911	3.630975	42.634543
6003	8527.482937	117.695198	-1.076939	3.626584	41.953027
6005	8529.552681	117.116719	-1.543647	3.626321	42.493765
6007	8531.619899	116.883175	-1.551928	3.620950	42.487504
6009	8533.686567	117.564638	-1.399642	3.615951	41.450954
6011	8535.753747	116.656970	-1.454180	3.610702	41.515772
6013	8537.821873	116.812061	-1.340202	3.610753	40.614265
6015	8539.890670	115.677847	-1.408042	3.610491	40.588003
6017	8541.959780	114.863874	-1.502548	3.617027	41.095767
6019	8544.029364	115.528704	-1.319133	3.612048	42.214566
6021	8546.099445	115.228940	-1.348700	3.610400	41.195314
6023	8548.170009	115.562938	-1.279736	3.612502	40.993913
6025	8550.241683	114.735512	-1.292803	3.612720	40.670663
6027	8552.313423	114.987348	-1.229137	3.610182	39.853314
6029	8554.384633	114.378173	-1.240090	3.607157	40.570374
6031	8556.453373	114.100419	-1.287702	3.610613	41.581819
6033	8558.518637	114.858463	-1.124409	3.611024	40.809698
6035	8560.582673	114.541053	-1.081363	3.617980	40.715095
6037	8562.650990	114.035459	-1.080688	3.615352	40.337360
6039	8564.723382	113.556241	-1.220116	3.611559	40.009398
6041	8566.797152	113.801987	-1.093706	3.608584	39.503095
6043	8568.869354	114.287795	-0.898738	3.612626	39.995716
6045	8570.938767	114.656747	-0.330335	3.619954	39.072804
6047	8573.004866	114.129087	-1.892039	3.620630	39.395380
6049	8575.070422	113.917293	-0.837680	3.612208	39.770250
6051	8577.137043	113.303891	-0.920945	3.611937	40.168893
6053	8579.205073	113.005016	-0.981957	3.611669	39.687707
6055	8581.273977	112.520924	-0.884673	3.610198	39.486822
6057	8583.343173	112.529791	-0.803090	3.608751	39.888331
6059	8585.412698	111.891268	-0.842261	3.607330	39.114608
6061	8587.483665	111.729022	-0.830085	3.605948	38.876268
